Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
﻿Калининский;Кушелевская дорога;7;4;;Студия Н;38,58;1;4374000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;38,9;;4003000;Площадь Мужества;https://www.emls.ru/fullinfo/4/330838.html
Калининский;Политехническая ул.;6;;Б;Студия Н;38,9;11;4395000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;38,99;11;4347000;Площадь Мужества;
Калининский;Металлистов пр.;117;;;Студия Н;39;;3599000;Лесная;https://www.emls.ru/fullinfo/4/331959.html
Калининский;Богословская ул.;4;4;;Студия Н;39;;4850000;Лесная;https://www.emls.ru/fullinfo/4/333631.html
Калининский;Маршала Блюхера пр.;9;1;;Студия Н;39;;6000000;Лесная;https://www.emls.ru/fullinfo/4/333957.html
Калининский;Маршала Блюхера пр.;7;3;;Студия Н;39,1;2;4885000;Лесная;
Калининский;Маршала Блюхера пр.;12;;;Студия Н;39,3;;4900000;Лесная;https://www.emls.ru/fullinfo/4/333792.html
Калининский;Политехническая ул.;6;;Б;Студия Н;39,46;11;4518000;Площадь Мужества;
﻿Калининский;Богословская ул.;4;3;;Студия Н;40;;4650000;Лесная;https://www.emls.ru/fullinfo/4/331392.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;40,1;9;5104000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;40,35;11;4357000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;40,49;11;4352000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;40,6;11;4932000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;40,6;2;4980000;Площадь Мужества;
Калининский;Обручевых ул.;5;;;Студия Н;40,6;5;5327000;Политехническая;
Калининский;Политехническая ул.;6;;Б;Студия Н;40,68;11;4454000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;40,73;9;4602000;Площадь Мужества;
Калининский;Лабораторный пр.;23;;;Студия Н;40,79;;3671000;Лесная;https://www.emls.ru/fullinfo/4/706823118.html
﻿Калининский;Кушелевская дорога;7;4;;Студия Н;40,82;1;4876000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;40,9;;4550000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706823284.html
Калининский;Богословская ул.;6;2;;Студия Н;41,1;;4800000;Лесная;https://www.emls.ru/fullinfo/4/327521.html
Калининский;Политехническая ул.;6;;Б;Студия Н;41,4;11;4636000;Площадь Мужества;
Калининский;Обручевых ул.;5;;;Студия Н;41,4;18;5294000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;41,4;9;5536000;Политехническая;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;41,5;17;5007000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;41,6;17;5054000;Площадь Мужества;
Калининский;Обручевых ул.;5;;;Студия Н;41,6;18;5320000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;41,6;7;5573000;Политехническая;
﻿Калининский;Обручевых ул.;5;;;Студия Н;41,7;2;5520000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;41,8;9;5264000;Политехническая;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;41,9;;4397000;Площадь Мужества;https://www.emls.ru/fullinfo/4/330881.html
Калининский;Обручевых ул.;5;;;Студия Н;41,9;4;5244000;Политехническая;
Калининский;Маршала Блюхера пр.;7;3;;Студия Н;41,9;7;5309000;Лесная;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;41,9;10;5359000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;42;;4404000;Площадь Мужества;https://www.emls.ru/fullinfo/4/332605.html
Калининский;Политехническая ул.;6;;Б;Студия Н;42;10;4683000;Площадь Мужества;
Калининский;Обручевых ул.;5;;;Студия Н;42;2;5559000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;42,1;;4950000;Политехническая;https://www.emls.ru/fullinfo/4/322231.html
﻿Калининский;Обручевых ул.;5;;;Студия Н;42,2;2;5257000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;42,2;17;5389000;Политехническая;
Калининский;Маршала Блюхера пр.;9;1;;Студия Н;42,4;15;4999000;Лесная;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;42,4;2;5219000;Площадь Мужества;
Калининский;Обручевых ул.;5;;;Студия Н;42,4;4;5307000;Политехническая;
