Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
Василеостровский;Вилькицкий бул.;10;;;Студия;21;6;2655000;Василеостровская;https://www.emls.ru/fullinfo/1/706560629.html
Василеостровский;Наличная ул.;51;;;Студия;25;15;2726000;Приморская;https://www.emls.ru/fullinfo/1/706564125.html
Василеостровский;Наличная ул.;51;;;Студия;25;14;2750000;Приморская;https://www.emls.ru/fullinfo/1/1434047.html
Василеостровский;Александра Грина бул.;1;;;Студия;22;19;2857000;Приморская;https://www.emls.ru/fullinfo/1/706569239.html
Василеостровский;9-я линия В.О.;58;;;Студия;24;2;2900000;Василеостровская;https://www.emls.ru/fullinfo/1/1454899.html
Василеостровский;Малый пр.;39;;;Студия;20,2;2;2904000;Василеостровская;https://www.emls.ru/fullinfo/1/706569274.html
Василеостровский;Александра Грина бул.;1;;;Студия;23,2;9;2950000;Приморская;https://www.emls.ru/fullinfo/1/1461956.html
﻿Василеостровский;Александра Грина бул.;1;;;Студия;26,2;9;2982000;Приморская;https://www.emls.ru/fullinfo/1/706566917.html
Василеостровский;Александра Грина бул.;1;;;Студия;23,2;16;3037000;Приморская;https://www.emls.ru/fullinfo/1/1459749.html
Василеостровский;Александра Грина бул.;1;;;Студия;23,3;16;3100000;Приморская;https://www.emls.ru/fullinfo/1/1448794.html
Василеостровский;Александра Грина бул.;1;;;Студия;29,1;10;3120000;Приморская;https://www.emls.ru/fullinfo/1/1464328.html
Василеостровский;Головнина бул.;10;;;Студия;19,88;6;3220000;Приморская;https://www.emls.ru/fullinfo/1/1470539.html
Василеостровский;Вилькицкий бул.;6;1;;Студия;22;1;3250000;Приморская;https://www.emls.ru/fullinfo/1/1466284.html
Василеостровский;Головнина бул.;10;;;Студия;23,4;3;3290000;Приморская;https://www.emls.ru/fullinfo/1/1469263.html
Василеостровский;18-я линия В.О.;11;;;Студия;31;2;3295000;Василеостровская;https://www.emls.ru/fullinfo/1/1471619.html
