Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Этажей;Цена;Метро;Дата постройки;Дата реконструкции;Даты кап. ремонты;Общая пл. здания, м2;Жилая пл., м2;Пл. нежелых помещений м2;Мансарда м2;Кол-во проживающих;Центральное отопление;Центральное ГВС;Центральное ЭС;Центарльное ГС;Тип Квартир;Кол-во квартир;Дата ТЭП;Виды кап. ремонта;Общее кол-во лифтов;Расстояние пешком;Время пешком;Расстояние на машине;Время на машине;Откуда взято
Адмиралтейский;Подольская;38;;;5 км. кв.;150,00;3;6;13500000;Технологический институт;1911;;2003, 2003, 2004, 2004, 2006, 2007, 2007, 2009, 2009, 2009, 2009;5473;3865,1;1007,9;0;3;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;2, 8, 4, 3, 1 ;12.04.2009;Капитальный ремонт лифтов (с заменой крупных узлов), Ремонт  (замена)изношенных внутриквартальных   инженерных наружных сетей  (вторичные сети)  с присоединением к существующим   магистральным сетям при расстоянии от ввода до точки подключения к магистралям до 150 м, Ремонт или восстановление ОДС, Ремонт или восстановление внутридомовых инженерных систем, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения;2;909 м;10 мин;1000 м;3 мин;https://www.bn.ru/detail/flats/2947647/
Адмиралтейский;Лермонтовский;10;;;7 км. кв.;162,80;4;0;13520000;Сенная площадь;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;2000 м;24 мин;1900 м;11 мин;https://www.bn.ru/detail/flats/1566516/
Адмиралтейский;Б. Казачий пер.;11;;;4 км. кв.;155,20;3;7;13790000;Пушкинская;1917;1956;;18564,3;10609,47;5986,33;0;32;True;False;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн.;2, 16, 17, 9, 5, 1;21.10.2013;;6;435 м;5 мин;706 м;3 мин;https://www.bn.ru/detail/flats/3200185/
Адмиралтейский;Казанская;35;;;5 км. кв.;96,00;1;4;13900000;Садовая;1798;1970;2002, 2006, 2006, 2006, 2008, 2009;3023,6;2596,1;244,8;0;4;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;1, 10, 11, 4, 1 ;02.02.2011;Благоустройство придомовой территории, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт фасадов без утепления;0;629 м;7 мин;1600 м;8 мин;https://www.bn.ru/detail/flats/3187495/
Адмиралтейский;Галерная;48;;;4 км. кв.;151,50;2;6;13990000;Адмиралтейская;1798-1902;;2003, 2003, 2004, 2006, 2007, 2007, 2007, 2007, 2007, 2017;4550,5;3458,3;621,9;0;11;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;5, 8, 4, 3, 1 ;21.05.2013;Благоустройство придомовой территории, Ремонт или восстановление внутридомовых инженерных систем, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт фасадов без утепления, Ремонт фасадов без утепления;0;2100 м;25 мин;2000 м;7 мин;https://www.bn.ru/detail/flats/2924622/
Адмиралтейский;наб.реки Мойки;112;;;4 км. кв.;171,50;1;5;14000000;Адмиралтейская;1894;;2001, 2004, 2005, 2005, 2006, 2006, 2007, 2007, 2007, 2007, 2011, 2014, 2015;8407,2;6456,56;1398,94;273,7;13;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 7 комн.;7, 9, 8, 7, 5, 2;21.05.2013;Благоустройство придомовой территории, Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов, Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов, Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов, Расходы на изготовление проектно-сметной документации, Ремонт и восстановление озеленения, Ремонт или восстановление ОДС, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт подвальных помещений, Установка узлов управления ресурсами, с оборудованием устройств автоматизации и диспетчеризации для обеспечения дистанционного учёта и управления,;3;2300 м;27 мин;3200 м;13 мин;https://www.bn.ru/detail/flats/3145666/
Адмиралтейский;Лермонтовский а;8;10;;6 км. кв.;165,30;4;0;14000000;Садовая;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;2000 м;24 мин;2500 м;15 мин;https://www.bn.ru/detail/flats/3160767/
Адмиралтейский;Гороховая;56;;;5 км. кв.;107,20;3;4;14200000;Звенигородская;1917;1966;;578,2;423,4;80,8;0;1;True;False;True;True;2 комн., 4 комн.;3, 2;21.10.2013;;0;615 м;7 мин;911 м;6 мин;https://www.bn.ru/detail/flats/3182755/
Адмиралтейский;13-я Красноармейская ул.;16;;;4 км. кв.;120,00;2;6;14499000;Технологический институт;до 1917;1965;2005,2007 ;2023,4;1871,2;0;0;0;True;True;True;True;2 комн., 3 комн., 4 комн. ;1, 4, 6 ;10.02.2012;Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов, Ремонт или замена системы электроснабжения;1;1100 м;13 мин;1000 м;3 мин;https://www.bn.ru/detail/flats/3178584/
﻿Адмиралтейский;Красноградский пер;2;;;6 км. кв.;206,00;3;0;14900000;Садовая;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;922 м;11 мин;1400 м;8 мин;https://www.bn.ru/detail/flats/3154421/
